docId,item_Id,name,food_type_code,food_type_name,is_active,estimated_price,base_unit,created_at,updated_at,is_visible,supports_feedback,supports_rate,sort_order,available_meal_types
ITEM197,ITEM197,Mutton Green Chilli Karahi,desi,Desi,true,1240,full,,,true,true,true,1,[“cafe”]
ITEM198,ITEM198,Mutton Green Chilli Karahi,desi,Desi,true,760,half,,,true,true,true,1,[“cafe”]
ITEM199,ITEM199,Mutton Namkeen Karahi,desi,Desi,true,2375,single,,,true,true,true,1,[“cafe”]
ITEM200,ITEM200,Mutton Namkeen Karahi,desi,Desi,true,1190,full,,,true,true,true,1,[“cafe”]
ITEM201,ITEM201,Mutton Namkeen Karahi,desi,Desi,true,750,half,,,true,true,true,1,[“cafe”]
ITEM202,ITEM202,Mutton Qorma,desi,Desi,true,2375,single,,,true,true,true,1,[“cafe”]
ITEM203,ITEM203,Mutton Qorma,desi,Desi,true,1190,full,,,true,true,true,1,[“cafe”]
ITEM204,ITEM204,Mutton Qorma,desi,Desi,true,750,half,,,true,true,true,1,[“cafe”]
ITEM205,ITEM205,Mutton Shinwari Karahi,desi,Desi,true,2375,single,,,true,true,true,1,[“cafe”]
ITEM206,ITEM206,Mutton Shinwari Karahi,desi,Desi,true,1190,full,,,true,true,true,1,[“cafe”]
ITEM207,ITEM207,Mutton Shinwari Karahi,desi,Desi,true,750,half,,,true,true,true,1,[“cafe”]
ITEM208,ITEM208,Chicken Smoky Biryani / Chicken Sindhi Biryani + Alu Cutlet / Shami Kabab,desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM209,ITEM209,"Sarson Saag, Makai Roti, Salty Lassi",desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM210,ITEM210,Kadhi Pakora + Zeera Rice + Chicken Chapli Kabab,desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM211,ITEM211,White Chana + Zeera Rice + Chicken Chapli Kabab,desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM212,ITEM212,Matar Chicken / Chicken Shaljam,desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM213,ITEM213,Masoor daal + Zeera Rice + Steam Roast,desi,Desi,true,,single,,,true,true,true,1,[“cafe”]
ITEM214,ITEM214,Plain Rice,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM215,ITEM215,Plain Rice,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM216,ITEM216,Plain Rice,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM217,ITEM217,Chicken smoky Biryani,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM218,ITEM218,Chicken smoky Biryani,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM219,ITEM219,Chicken smoky Biryani,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM220,ITEM220,Chicken sindhi Biryani,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM221,ITEM221,Chicken sindhi Biryani,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM222,ITEM222,Chicken sindhi Biryani,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM223,ITEM223,Beef Kabli Pullao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM224,ITEM224,Beef Kabli Pullao,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM225,ITEM225,Beef Kabli Pullao,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM226,ITEM226,Zeera Rice,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM227,ITEM227,Zeera Rice,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM228,ITEM228,Zeera Rice,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM229,ITEM229,Matar Pulao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM230,ITEM230,Matar Pulao,rice,Rice,true,,full,,,true,true,true,1,[“cafe”]
ITEM231,ITEM231,Matar Pulao,rice,Rice,true,,half,,,true,true,true,1,[“cafe”]
ITEM232,ITEM232,Beef Afghani Pullao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM233,ITEM233,Beef Afghani Pullao,rice,Rice,true,1300,full,,,true,true,true,1,[“cafe”]
ITEM234,ITEM234,Beef Afghani Pullao,rice,Rice,true,780,half,,,true,true,true,1,[“cafe”]
ITEM235,ITEM235,Beef Biryani,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM236,ITEM236,Beef Biryani,rice,Rice,true,1150,full,,,true,true,true,1,[“cafe”]
ITEM237,ITEM237,Beef Biryani,rice,Rice,true,690,half,,,true,true,true,1,[“cafe”]
ITEM238,ITEM238,Beef Pullao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM239,ITEM239,Beef Pullao,rice,Rice,true,1150,full,,,true,true,true,1,[“cafe”]
ITEM240,ITEM240,Beef Pullao,rice,Rice,true,650,half,,,true,true,true,1,[“cafe”]
ITEM241,ITEM241,Chicken Afghani Pullao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM242,ITEM242,Chicken Afghani Pullao,rice,Rice,true,840,full,,,true,true,true,1,[“cafe”]
ITEM243,ITEM243,Chicken Afghani Pullao,rice,Rice,true,520,half,,,true,true,true,1,[“cafe”]
ITEM244,ITEM244,Chicken Yakhani Pullao,rice,Rice,true,,single,,,true,true,true,1,[“cafe”]
ITEM245,ITEM245,Chicken Yakhani Pullao,rice,Rice,true,740,full,,,true,true,true,1,[“cafe”]
ITEM246,ITEM246,Chicken Yakhani Pullao,rice,Rice,true,460,half,,,true,true,true,1,[“cafe”]
